Date,Temperature,Humidity,Outside Temperature,Previous Date,Temperature on Previous day,2 days before Date,Temperature 2 days before
1/15/2020 1:44,69.3,66.71,68,1/14/2020 1:44,68.8,1/13/2020 1:44,70.4
1/15/2020 3:44,69.8,66.14,66,1/14/2020 3:44,69.2,1/13/2020 3:44,70.4
1/15/2020 5:44,70.1,65.81,68,1/14/2020 5:44,69.6,1/13/2020 5:44,70.4
1/15/2020 7:44,68,67.14,72,1/14/2020 7:44,67.6,1/13/2020 7:44,69.8
1/15/2020 9:44,67.6,66.77,75,1/14/2020 9:44,66,1/13/2020 9:44,67.9
1/15/2020 11:44,70.1,65.52,75,1/14/2020 11:44,66.1,1/13/2020 11:44,67.2
1/15/2020 13:44,70.1,66.46,73,1/14/2020 13:44,65.8,1/13/2020 13:44,66.3
1/15/2020 15:44,70.5,64.24,72,1/14/2020 15:44,65.7,1/13/2020 15:44,65.9
1/15/2020 17:44,68.6,64.03,69,1/14/2020 17:44,65.4,1/13/2020 17:44,65.4
1/15/2020 19:44,69.2,64.23,67,1/14/2020 19:44,67,1/13/2020 19:44,66.7
1/15/2020 21:44,70.2,63.72,66,1/14/2020 21:44,68.2,1/13/2020 21:44,67.6
1/15/2020 23:44,70.6,64.48,64,1/14/2020 23:44,68.9,1/13/2020 23:44,68.3
1/16/2020 1:44,71,64.27,64,1/15/2020 1:44,69.3,1/14/2020 1:44,68.8
1/16/2020 3:44,71.3,64.21,66,1/15/2020 3:44,69.8,1/14/2020 3:44,69.2
1/16/2020 5:44,71.6,64.46,66,1/15/2020 5:44,70.1,1/14/2020 5:44,69.6
1/16/2020 7:44,69.2,65.15,70,1/15/2020 7:44,68,1/14/2020 7:44,67.6
1/16/2020 9:44,68.7,65.13,73,1/15/2020 9:44,67.6,1/14/2020 9:44,66
1/16/2020 11:44,67.6,66.41,77,1/15/2020 11:44,70.1,1/14/2020 11:44,66.1
1/16/2020 13:44,67.6,67.83,75,1/15/2020 13:44,70.1,1/14/2020 13:44,65.8
1/16/2020 15:44,67.3,68.86,64,1/15/2020 15:44,70.5,1/14/2020 15:44,65.7
1/16/2020 17:44,66.6,67.89,63,1/15/2020 17:44,68.6,1/14/2020 17:44,65.4
1/16/2020 19:44,67.8,64.7,61,1/15/2020 19:44,69.2,1/14/2020 19:44,67
1/16/2020 21:44,68.9,65.07,59,1/15/2020 21:44,70.2,1/14/2020 21:44,68.2
1/16/2020 23:44,69.5,65.3,60,1/15/2020 23:44,70.6,1/14/2020 23:44,68.9
1/17/2020 1:44,69.9,65.2,61,1/16/2020 1:44,71,1/15/2020 1:44,69.3
1/17/2020 3:44,70.1,64.75,59,1/16/2020 3:44,71.3,1/15/2020 3:44,69.8
1/17/2020 5:44,70.4,64.15,31,1/16/2020 5:44,71.6,1/15/2020 5:44,70.1
1/17/2020 7:44,68.5,64.02,63,1/16/2020 7:44,69.2,1/15/2020 7:44,68
1/17/2020 9:44,67.7,63.01,66,1/16/2020 9:44,68.7,1/15/2020 9:44,67.6
1/17/2020 11:44,66.6,64.93,68,1/16/2020 11:44,67.6,1/15/2020 11:44,70.1
1/17/2020 13:44,66.1,65.07,72,1/16/2020 13:44,67.6,1/15/2020 13:44,70.1
1/17/2020 15:44,66,66.4,70,1/16/2020 15:44,67.3,1/15/2020 15:44,70.5
1/17/2020 17:44,65.7,66.89,68,1/16/2020 17:44,66.6,1/15/2020 17:44,68.6
1/17/2020 19:44,67.1,65.29,66,1/16/2020 19:44,67.8,1/15/2020 19:44,69.2
1/17/2020 21:44,68.4,64.84,68,1/16/2020 21:44,68.9,1/15/2020 21:44,70.2
1/17/2020 23:44,69.2,64.82,66,1/16/2020 23:44,69.5,1/15/2020 23:44,70.6
1/18/2020 1:44,69.8,64.51,70,1/17/2020 1:44,69.9,1/16/2020 1:44,71
1/18/2020 3:44,70.3,64.24,68,1/17/2020 3:44,70.1,1/16/2020 3:44,71.3
1/18/2020 5:44,70.7,64.11,69,1/17/2020 5:44,70.4,1/16/2020 5:44,71.6
1/18/2020 7:44,71.1,64.7,71,1/17/2020 7:44,68.5,1/16/2020 7:44,69.2
1/18/2020 9:44,71.4,65.61,73,1/17/2020 9:44,67.7,1/16/2020 9:44,68.7
1/18/2020 11:44,72.1,66.11,75,1/17/2020 11:44,66.6,1/16/2020 11:44,67.6
1/18/2020 13:44,72.6,66.4,64,1/17/2020 13:44,66.1,1/16/2020 13:44,67.6
1/18/2020 15:44,72.7,65.49,65,1/17/2020 15:44,66,1/16/2020 15:44,67.3
1/18/2020 17:44,72.7,66.66,66,1/17/2020 17:44,65.7,1/16/2020 17:44,66.6
