Date,Temperature,Humidity,Outside Temperature,Previous Date,Temperature on Previous day,2 days before Date,Temperature 2 days before
1/15/2020 1:44,70.7,64.75,68,1/14/2020 1:44,69.8,1/13/2020 1:44,68.1
1/15/2020 3:44,70.6,66.51,66,1/14/2020 3:44,69.8,1/13/2020 3:44,68
1/15/2020 5:44,70.6,67.79,68,1/14/2020 5:44,69.7,1/13/2020 5:44,67.8
1/15/2020 7:44,69.8,60.85,72,1/14/2020 7:44,71.8,1/13/2020 7:44,66.7
1/15/2020 9:44,70.6,57.82,75,1/14/2020 9:44,72.5,1/13/2020 9:44,68.6
1/15/2020 11:44,70.6,57.79,75,1/14/2020 11:44,72.6,1/13/2020 11:44,68.9
1/15/2020 13:44,69.9,58.65,73,1/14/2020 13:44,72.2,1/13/2020 13:44,69.4
1/15/2020 15:44,70.1,57.73,72,1/14/2020 15:44,71.2,1/13/2020 15:44,69.4
1/15/2020 17:44,71.5,54,69,1/14/2020 17:44,70.3,1/13/2020 17:44,69.2
1/15/2020 19:44,71.2,57.94,67,1/14/2020 19:44,70.9,1/13/2020 19:44,70.3
1/15/2020 21:44,71.1,60.27,66,1/14/2020 21:44,70.8,1/13/2020 21:44,70.1
1/15/2020 23:44,71.1,62.27,64,1/14/2020 23:44,70.8,1/13/2020 23:44,69.9
1/16/2020 1:44,71,65.5,64,1/15/2020 1:44,70.7,1/14/2020 1:44,69.8
1/16/2020 3:44,70.9,67.02,66,1/15/2020 3:44,70.6,1/14/2020 3:44,69.8
1/16/2020 5:44,70.9,68.7,66,1/15/2020 5:44,70.6,1/14/2020 5:44,69.7
1/16/2020 7:44,70.2,59.86,70,1/15/2020 7:44,69.8,1/14/2020 7:44,71.8
1/16/2020 9:44,70.5,57,73,1/15/2020 9:44,70.6,1/14/2020 9:44,72.5
1/16/2020 11:44,72.5,55.33,77,1/15/2020 11:44,70.6,1/14/2020 11:44,72.6
1/16/2020 13:44,71,57.05,75,1/15/2020 13:44,69.9,1/14/2020 13:44,72.2
1/16/2020 15:44,70,58.6,64,1/15/2020 15:44,70.1,1/14/2020 15:44,71.2
1/16/2020 17:44,71,56.96,63,1/15/2020 17:44,71.5,1/14/2020 17:44,70.3
