Date,Temperature,Humidity,Outside Temperature,Previous Date,Temperature on Previous day,2 days before Date,Temperature 2 days before
1/15/2020 1:44,71.2,78.09,68,1/14/2020 1:44,69.6,1/13/2020 1:44,68.3
1/15/2020 3:44,71.1,80.14,66,1/14/2020 3:44,69.6,1/13/2020 3:44,68.1
1/15/2020 5:44,71,81.81,68,1/14/2020 5:44,69.7,1/13/2020 5:44,68
1/15/2020 7:44,70.4,75.66,72,1/14/2020 7:44,70.4,1/13/2020 7:44,68.5
1/15/2020 9:44,71.2,69.49,75,1/14/2020 9:44,71,1/13/2020 9:44,68.9
1/15/2020 11:44,71.5,67.18,75,1/14/2020 11:44,71.4,1/13/2020 11:44,69.4
1/15/2020 13:44,71.5,67.71,73,1/14/2020 13:44,69.9,1/13/2020 13:44,69.9
1/15/2020 15:44,70.3,66.62,72,1/14/2020 15:44,71.5,1/13/2020 15:44,70.2
1/15/2020 17:44,71.4,64.9,69,1/14/2020 17:44,71.4,1/13/2020 17:44,69.9
1/15/2020 19:44,71.8,64.8,67,1/14/2020 19:44,71.5,1/13/2020 19:44,69.7
1/15/2020 21:44,71.9,67.88,66,1/14/2020 21:44,71.6,1/13/2020 21:44,69.6
1/15/2020 23:44,71.7,70.53,64,1/14/2020 23:44,71.3,1/13/2020 23:44,69.6
1/16/2020 1:44,71.5,72.48,64,1/15/2020 1:44,71.2,1/14/2020 1:44,69.6
1/16/2020 3:44,71.4,75.31,66,1/15/2020 3:44,71.1,1/14/2020 3:44,69.6
1/16/2020 5:44,71.3,76.55,66,1/15/2020 5:44,71,1/14/2020 5:44,69.7
1/16/2020 7:44,71.4,71.56,70,1/15/2020 7:44,70.4,1/14/2020 7:44,70.4
1/16/2020 9:44,71.5,66.54,73,1/15/2020 9:44,71.2,1/14/2020 9:44,71
1/16/2020 11:44,72,63.6,77,1/15/2020 11:44,71.5,1/14/2020 11:44,71.4
1/16/2020 13:44,71.7,63.77,75,1/15/2020 13:44,71.5,1/14/2020 13:44,69.9
1/16/2020 15:44,70.1,64.91,64,1/15/2020 15:44,70.3,1/14/2020 15:44,71.5
1/16/2020 17:44,71.3,63.51,63,1/15/2020 17:44,71.4,1/14/2020 17:44,71.4
1/16/2020 19:44,71.5,65.06,61,1/15/2020 19:44,71.8,1/14/2020 19:44,71.5
1/16/2020 21:44,71.7,66.4,59,1/15/2020 21:44,71.9,1/14/2020 21:44,71.6
1/16/2020 23:44,71.2,67.95,60,1/15/2020 23:44,71.7,1/14/2020 23:44,71.3
1/17/2020 1:44,70.9,67.87,61,1/16/2020 1:44,71.5,1/15/2020 1:44,71.2
1/17/2020 3:44,70.7,67.41,59,1/16/2020 3:44,71.4,1/15/2020 3:44,71.1
1/17/2020 5:44,70.5,65.95,31,1/16/2020 5:44,71.3,1/15/2020 5:44,71
1/17/2020 7:44,70.9,63.87,63,1/16/2020 7:44,71.4,1/15/2020 7:44,70.4
1/17/2020 9:44,71.1,61.89,66,1/16/2020 9:44,71.5,1/15/2020 9:44,71.2
1/17/2020 11:44,70.8,62.55,68,1/16/2020 11:44,72,1/15/2020 11:44,71.5
