Date,Temperature,Humidity,Outside Temperature,Previous Date,Temperature on Previous day,2 days before Date,Temperature 2 days before
1/15/2020 1:42,71.7,60.59,68,1/14/2020 1:42,70.2,1/13/2020 1:42,71
1/15/2020 3:42,72.2,60.35,66,1/14/2020 3:42,71,1/13/2020 3:42,70.9
1/15/2020 5:42,72.6,60.09,68,1/14/2020 5:42,70.9,1/13/2020 5:42,71
1/15/2020 7:42,67.9,66.39,72,1/14/2020 7:42,67.5,1/13/2020 7:42,69.4
1/15/2020 9:42,66.7,67.92,75,1/14/2020 9:42,66.2,1/13/2020 9:42,66.5
1/15/2020 11:42,66.9,68.62,75,1/14/2020 11:42,65.9,1/13/2020 11:42,65.7
1/15/2020 13:42,67.2,68.6,73,1/14/2020 13:42,66.3,1/13/2020 13:42,65.6
1/15/2020 15:42,67.1,68.97,72,1/14/2020 15:42,67,1/13/2020 15:42,65.7
1/15/2020 17:42,66.7,68.25,69,1/14/2020 17:42,66.4,1/13/2020 17:42,66
1/15/2020 19:42,66.4,68.76,67,1/14/2020 19:42,66,1/13/2020 19:42,66.5
1/15/2020 21:42,69.9,63.24,66,1/14/2020 21:42,69.4,1/13/2020 21:42,69.1
1/15/2020 23:42,71.7,60.72,64,1/14/2020 23:42,70.9,1/13/2020 23:42,70.2
1/16/2020 1:42,72.6,59.64,64,1/15/2020 1:42,71.7,1/14/2020 1:42,70.2
1/16/2020 3:42,73.2,59.38,66,1/15/2020 3:42,72.2,1/14/2020 3:42,71
1/16/2020 5:42,73.4,59.69,66,1/15/2020 5:42,72.6,1/14/2020 5:42,70.9
1/16/2020 7:42,68.6,65.56,70,1/15/2020 7:42,67.9,1/14/2020 7:42,67.5
1/16/2020 9:42,67.3,67.16,73,1/15/2020 9:42,66.7,1/14/2020 9:42,66.2
1/16/2020 11:42,67.3,67.3,77,1/15/2020 11:42,66.9,1/14/2020 11:42,65.9
1/16/2020 13:42,68.5,66.4,75,1/15/2020 13:42,67.2,1/14/2020 13:42,66.3
1/16/2020 15:42,68.2,66.86,64,1/15/2020 15:42,67.1,1/14/2020 15:42,67
1/16/2020 17:42,67.1,67.24,63,1/15/2020 17:42,66.7,1/14/2020 17:42,66.4
1/16/2020 19:42,66.4,67.31,61,1/15/2020 19:42,66.4,1/14/2020 19:42,66
1/16/2020 21:42,70.1,60.99,59,1/15/2020 21:42,69.9,1/14/2020 21:42,69.4
1/16/2020 23:42,71.7,59.56,60,1/15/2020 23:42,71.7,1/14/2020 23:42,70.9
1/17/2020 1:42,72.2,59.48,61,1/16/2020 1:42,72.6,1/15/2020 1:42,71.7
1/17/2020 3:42,72.3,59.4,59,1/16/2020 3:42,73.2,1/15/2020 3:42,72.2
1/17/2020 5:42,72.6,58.99,31,1/16/2020 5:42,73.4,1/15/2020 5:42,72.6
1/17/2020 7:42,68.1,64.28,63,1/16/2020 7:42,68.6,1/15/2020 7:42,67.9
1/17/2020 9:42,66.8,64.31,66,1/16/2020 9:42,67.3,1/15/2020 9:42,66.7
1/17/2020 11:42,67.3,63.88,68,1/16/2020 11:42,67.3,1/15/2020 11:42,66.9
1/17/2020 13:42,66.6,64.44,72,1/16/2020 13:42,68.5,1/15/2020 13:42,67.2
1/17/2020 15:42,66.3,66.03,70,1/16/2020 15:42,68.2,1/15/2020 15:42,67.1
1/17/2020 17:42,66,66.48,68,1/16/2020 17:42,67.1,1/15/2020 17:42,66.7
1/17/2020 19:42,65.7,66.4,66,1/16/2020 19:42,66.4,1/15/2020 19:42,66.4
1/17/2020 21:42,69.9,60.88,68,1/16/2020 21:42,70.1,1/15/2020 21:42,69.9
1/17/2020 23:42,71.6,59.18,66,1/16/2020 23:42,71.7,1/15/2020 23:42,71.7
1/18/2020 1:42,72.4,58.87,70,1/17/2020 1:42,72.2,1/16/2020 1:42,72.6
1/18/2020 3:42,73,58.71,68,1/17/2020 3:42,72.3,1/16/2020 3:42,73.2
1/18/2020 5:42,73.4,58.81,69,1/17/2020 5:42,72.6,1/16/2020 5:42,73.4
1/18/2020 7:42,73,60.06,71,1/17/2020 7:42,68.1,1/16/2020 7:42,68.6
1/18/2020 9:42,73.1,60.79,73,1/17/2020 9:42,66.8,1/16/2020 9:42,67.3
1/18/2020 11:42,73.3,61.84,75,1/17/2020 11:42,67.3,1/16/2020 11:42,67.3
1/18/2020 13:42,68.7,67.01,64,1/17/2020 13:42,66.6,1/16/2020 13:42,68.5
1/18/2020 15:42,67.9,68.77,65,1/17/2020 15:42,66.3,1/16/2020 15:42,68.2
1/18/2020 17:42,71.6,65.04,66,1/17/2020 17:42,66,1/16/2020 17:42,67.1
1/18/2020 19:42,72.5,64.28,64,1/17/2020 19:42,65.7,1/16/2020 19:42,66.4
1/18/2020 21:42,72.8,64.41,61,1/17/2020 21:42,69.9,1/16/2020 21:42,70.1
1/18/2020 23:42,73.5,63.39,58,1/17/2020 23:42,71.6,1/16/2020 23:42,71.7
1/19/2020 1:42,73.6,62.8,52,1/18/2020 1:42,72.4,1/17/2020 1:42,72.2
1/19/2020 3:42,73.6,61.42,48,1/18/2020 3:42,73,1/17/2020 3:42,72.3
1/19/2020 5:42,73.1,59.07,47,1/18/2020 5:42,73.4,1/17/2020 5:42,72.6
1/19/2020 7:42,72.3,58.41,45,1/18/2020 7:42,73,1/17/2020 7:42,68.1
1/19/2020 9:42,72.1,56.86,52,1/18/2020 9:42,73.1,1/17/2020 9:42,66.8
1/19/2020 11:42,72.7,52.86,54,1/18/2020 11:42,73.3,1/17/2020 11:42,67.3
1/19/2020 13:42,73.7,47.96,52,1/18/2020 13:42,68.7,1/17/2020 13:42,66.6
1/19/2020 15:42,72.6,44.78,48,1/18/2020 15:42,67.9,1/17/2020 15:42,66.3
1/19/2020 17:42,72.4,43.43,46,1/18/2020 17:42,71.6,1/17/2020 17:42,66
1/19/2020 19:42,72,43.7,42,1/18/2020 19:42,72.5,1/17/2020 19:42,65.7
1/19/2020 21:42,71.6,43.22,39,1/18/2020 21:42,72.8,1/17/2020 21:42,69.9
1/19/2020 23:42,71.2,41.21,39,1/18/2020 23:42,73.5,1/17/2020 23:42,71.6
